trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	onset_abs	duration
0	0.03637350001372397	stim	0		116				17.811090292059816	1.0181810000212863
0	1.0492300830082968	response	0	space					18.82394687505439	
1	1.0545545000350103	stim	0		50				18.829271292081103	0.4773978329030797
1	1.5224353750236332	pulse	0	t					19.297152167069726	
1	1.53195233293809	stim	1		43				19.306669124984182	0.4036195420194417
2	1.9355718749575317	fix_pre	0		114	0.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-c5_SFS4aaJI_1102.mp4	19.710288667003624	1.0095842920709401
2	2.945156167028472	movie	1		358	0.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-c5_SFS4aaJI_1102.mp4	20.719872959074564	3.004312999895774
2	5.949469166924246	fix_post	2		116	0.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-c5_SFS4aaJI_1102.mp4	23.724185958970338	0.9918456660816446
3	6.94131483300589	fix_pre	0		92	1.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-xKteiAi5h7Q_36.mp4	24.716031625051983	1.0042702089995146
3	7.945585042005405	movie	1		313	1.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-xKteiAi5h7Q_36.mp4	25.720301834051497	2.9894579160027206
3	10.935042958008125	fix_post	2		119	1.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-xKteiAi5h7Q_36.mp4	28.709759750054218	1.0015642090002075
4	11.936607167008333	fix_pre	0		116	2.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-cILZ_cB3_so_73.mp4	29.711323959054425	1.001106624957174
4	12.937713791965507	movie	1		356	2.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-cILZ_cB3_so_73.mp4	30.7124305840116	2.997139665996656
4	15.934853457962163	fix_post	2		115	2.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-cILZ_cB3_so_73.mp4	33.709570250008255	0.9985905840294436
5	16.933444041991606	fix_pre	0		119	3.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_wc-q23aBNJMZbnZ_27.mp4	34.7081608340377	1.0296132499352098
5	17.963057291926816	movie	1		343	3.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_wc-q23aBNJMZbnZ_27.mp4	35.73777408397291	2.972044249996543
5	20.93510154192336	fix_post	2		120	3.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_wc-q23aBNJMZbnZ_27.mp4	38.70981833396945	1.0021582910558209
6	21.93725983297918	fix_pre	0		121	4.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-XPRNMelf5Fs_235.mp4	39.71197662502527	1.0119602089980617
6	22.94922004197724	movie	1		355	4.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-XPRNMelf5Fs_235.mp4	40.723936834023334	2.9918524579843506
6	25.941072499961592	fix_post	2		118	4.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-XPRNMelf5Fs_235.mp4	43.715789292007685	1.003003624966368
7	26.94407612492796	fix_pre	0		120	5.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_flickr-53807584@N00-5566422012_16.mp4	44.71879291697405	1.009111333056353
7	27.953187457984313	movie	1		356	5.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_flickr-53807584@N00-5566422012_16.mp4	45.727904250030406	2.987763792043552
7	30.940951250027865	fix_post	2		119	5.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_flickr-53807584@N00-5566422012_16.mp4	48.71566804207396	1.0096524169202894
8	31.950603666948155	fix_pre	0		115	6.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-G40PW6hfb2c_5.mp4	49.72532045899425	0.9905009160283953
8	32.94110458297655	movie	1		360	6.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-G40PW6hfb2c_5.mp4	50.71582137502264	3.008210542029701
8	35.94931512500625	fix_post	2		117	6.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-G40PW6hfb2c_5.mp4	53.72403191705234	0.9932187920203432
9	36.942533917026594	fix_pre	0		110	7.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_R_yt-TNtO8RPd3iE_25.mp4	54.71725070907269	1.0027401659172028
9	37.9452740829438	movie	1		359	7.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_R_yt-TNtO8RPd3iE_25.mp4	55.71999087498989	2.999822417041287
9	40.945096499985084	fix_post	2		119	7.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_R_yt-TNtO8RPd3iE_25.mp4	58.719813292031176	1.000195667031221
10	41.945292167016305	fix_pre	0		110	8.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-ol2u_-gd0-o_13.mp4	59.7200089590624	1.005027791019529
10	42.950319958035834	movie	1		357	8.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-ol2u_-gd0-o_13.mp4	60.72503675008193	2.984874999965541
10	45.935194958001375	fix_post	2		119	8.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-ol2u_-gd0-o_13.mp4	63.70991175004747	1.0067121669417247
11	46.9419071249431	fix_pre	0		115	9.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-83nimFMNhrM_131.mp4	64.71662391698919	0.9939545830711722
11	47.93586170801427	movie	1		358	9.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-83nimFMNhrM_131.mp4	65.71057850006036	3.0050431669224054
11	50.94090487493668	fix_post	2		119	9.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-83nimFMNhrM_131.mp4	68.71562166698277	0.9952126670395955
12	51.93611754197627	fix_pre	0		116	10.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_R_yt-alGXD2Drh_g_19.mp4	69.71083433402237	1.0045460000401363
12	52.94066354201641	movie	1		359	10.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_R_yt-alGXD2Drh_g_19.mp4	70.7153803340625	2.994386415928602
12	55.93504995794501	fix_post	2		116	10.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_R_yt-alGXD2Drh_g_19.mp4	73.7097667499911	1.0087230839999393
13	56.94377304194495	fix_pre	0		117	11.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-f9iXELY0EJ0_344.mp4	74.71848983399104	0.9972504579927772
13	57.94102349993773	movie	1		360	11.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-f9iXELY0EJ0_344.mp4	75.71574029198382	3.0081511670723557
13	60.949174667010084	fix_post	2		112	11.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_yt-f9iXELY0EJ0_344.mp4	78.72389145905618	1.0017557910177857
14	61.95093045802787	fix_pre	0		80	12.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-KLInd-KrK_w_19.mp4	79.72564725007396	0.9980295839486644
14	62.948960041976534	movie	1		355	12.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-KLInd-KrK_w_19.mp4	80.72367683402263	2.9905528749804944
14	65.93951291695703	fix_post	2		118	12.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/1_S_yt-KLInd-KrK_w_19.mp4	83.71422970900312	1.005711083067581
15	66.94522400002461	fix_pre	0		103	13.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-QxNuo4ojvz4_420.mp4	84.7199407920707	0.9996830419404432
15	67.1947289579548	response	0	escape		13.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-QxNuo4ojvz4_420.mp4	84.96944575000089	
15	67.94490704196505	movie	1		356	13.0	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos2/2_S_R_yt-QxNuo4ojvz4_420.mp4	85.71962383401114	2.995849333005026
