video_name	category_name	duration	width	height	size	frame_rate	grade
yt-WQNX2yWLT2I_366.mp4	breaking	3.037000	1280	720	0.522019	30000/1001	j
yt-Q4edV5qiqu0_578.mp4	breaking	3.024000	1280	720	0.962672	30/1	j
bing-www_break_com_video_like-a-cat-catching-a-fly-3131008_12.mp4	breaking	3.024000	1280	720	1.241426	30000/1001	j
yt-IX6uxR5DSKk_2.mp4	breaking	3.024000	1280	720	1.176416	30/1	j
yt-Fdv-V--QlR0_117.mp4	breaking	3.037000	1280	720	0.63743	30000/1001	j
yt-LUIvP_NDWAs_45.mp4	breaking	3.024000	1280	720	0.461086	25/1	j
yt-l_ioasf6yHg_44.mp4	breaking	3.024000	1280	720	0.764866	25/1	j
yt-xKteiAi5h7Q_36.mp4	breaking	1.368033	1280	720	1.646599	0/0	j
yt-E8EDQCPbBeI_196.mp4	breaking	3.024000	1280	720	0.71461	25/1	j
yt-GbL63AmOIss_116.mp4	breaking	3.024000	1280	720	0.548592	30000/1001	j
yt-7W50lcw5FCo_37.mp4	breaking	3.024000	1280	720	2.143408	30000/1001	j
yt-5rC42egLl5E_387.mp4	breaking	3.037000	1280	720	0.655343	30000/1001	j
Xq0a2BWE3zA_53.mp4	breaking	3.024000	1280	720	1.076937	24/1	j
yt-kRR0CluqaX4_130.mp4	breaking	3.037000	1280	720	0.467564	30000/1001	j
yt-8LO59eN9om4_16.mp4	frowning	3.024000	1280	720	1.064236	30000/1001	j
yt-McqS-QObQbk_122.mp4	frowning	3.024000	1280	720	0.89162	30/1	j
yt-e_eOzV7qMZo_374.mp4	frowning	3.024000	1280	720	1.771031	30/1	j
yt-NqZHX-eOVUA_35.mp4	frowning	3.024000	1280	720	1.474199	25/1	k
yt--s2mcDTgwkc_65.mp4	frowning	3.024000	1280	720	0.942837	30/1	l
yt-xlHdGsXVZFU_83.mp4	licking	3.034000	1280	720	1.168634	30/1	j
yt-tEzCpMrjOHs_24.mp4	licking	3.024000	1280	720	1.208249	30/1	j
yt-Xq6uX1jfFRk_21.mp4	licking	3.024000	1280	720	1.366847	25/1	j
yt-eF5J5Kjt6oY_23.mp4	licking	3.037000	1280	720	1.218328	30000/1001	j
yt-vQ-rd-1gwH4_238.mp4	licking	3.024000	1280	720	1.280218	30/1	j
production_ID_4707837.mp4	pexelsclips	4.320000	1280	720	10.823887	0/0	j
production_ID_4510883.mp4	pexelsclips	7.416667	1920	1080	13.8428	24/1	j
pexels-pavel-danilyuk-8626652.mp4	pexelsclips	3.880000	1920	1080	7.313594	25/1	j
pexels-roman-odintsov-8231493.mp4	pexelsclips	9.600000	1920	1014	15.672679	25/1	j
pexels-mart-production-8435081.mp4	pexelsclips	3.480000	1920	1014	8.800437	25/1	j
pexels-cottonbro-6789228.mp4	pexelsclips	7.120000	1920	1012	12.459526	25/1	j
production_ID_4540332.mp4	pexelsclips	3.520000	1920	1012	9.266491	0/0	j
pexels-anastasia-shuraeva-6014070.mp4	pexelsclips	3.708333	1920	1014	8.042434	24/1	j
production_ID_4154238.mp4	pexelsclips	5.180000	1920	1014	9.291789	50/1	j
pexels-kindel-media-8165572.mp4	pexelsclips	4.500000	1920	1014	11.657113	0/0	j
production_ID_4122384.mp4	pexelsclips	4.129125	1920	1080	10.95973	24000/1001	j
pexels-tima-miroshnichenko-8724308.mp4	pexelsclips	4.680000	1920	1014	9.027778	25/1	j
Pexels_Videos_2376809.mp4	pexelsclips	3.753750	1920	1080	8.586613	24000/1001	j
pexels-mikael-blomkvist-8689852.mp4	pexelsclips	3.720000	1920	1080	6.695046	25/1	j
pexels-marcus-aurelius-6785014.mp4	pexelsclips	3.240000	1920	1080	5.941287	25/1	j
production_ID_4820868.mp4	pexelsclips	3.520000	1920	1080	9.265919	25/1	j
pexels-c-technical-6344801.mp4	pexelsclips	4.120000	1920	1014	9.182498	25/1	j
production_ID_3923518.mp4	pexelsclips	4.129125	1920	1014	5.708301	0/0	j
pexels-c-technical-6809719.mp4	pexelsclips	4.280000	1920	1014	2.855159	25/1	j
pexels-cottonbro-9063801_1.mp4	pexelsclips	7.040000	1920	1014	12.349038	25/1	j
pexels-rodnae-productions-5993671.mp4	pexelsclips	3.366667	1920	1014	6.532196	0/0	j
pexels-cottonbro-5780808.mp4	pexelsclips	4.280000	1920	1080	10.942408	50/1	j
pexels-kampus-production-6022792_1.mp4	pexelsclips	4.680000	1920	1080	12.642145	0/0	l
pexels-mikhail-nilov-8410084.mp4	pexelsclips	4.240000	1920	1080	4.189254	25/1	j
pexels-c-technical-6753390.mp4	pexelsclips	4.640000	1920	1014	8.200512	25/1	j
pexels-mikhail-nilov-8410084_1.mp4	pexelsclips	3.640000	1920	1080	3.683878	25/1	j
production_ID_4325509.mp4	pexelsclips	4.860000	1920	1080	7.179621	0/0	j
production_ID_4765899.mp4	pexelsclips	5.333333	1920	1080	14.003685	0/0	j
pexels-vlada-karpovich-8044792.mp4	pexelsclips	4.420000	1920	1080	8.422174	50/1	j
pexels-diva-plavalaguna-6985395.mp4	pexelsclips	3.660000	1920	1080	9.496	50/1	j
Roller_Coaster.mp4	pexelsclips	4.087417	1920	1080	4.470599	0/0	l
pexels-rodnae-productions-5993237_1.mp4	pexelsclips	3.800000	1920	1080	5.458941	0/0	l
pexels-kindel-media-8164443.mp4	pexelsclips	4.633333	1920	1080	11.094904	0/0	j
production_ID_5144823.mp4	pexelsclips	3.560000	1920	1080	6.619497	25/1	j
production_ID_4057155.mp4	pexelsclips	4.540000	1920	1014	11.451911	50/1	j
production_ID_4802716.mp4	pexelsclips	2.800000	1920	1014	4.719421	0/0	j
production_ID_4101307.mp4	pexelsclips	4.900000	1920	1014	9.665679	50/1	j
pexels-koolshooters-7327412_1.mp4	pexelsclips	4.360000	1920	1080	5.559087	25/1	j
pexels-rodnae-productions-5617905.mp4	pexelsclips	3.420083	1920	1080	8.603771	24000/1001	j
pexels-yaroslav-shuraev-8091356.mp4	pexelsclips	3.750000	1920	1014	9.34784	24/1	j
Pexels_Videos_2795736.mp4	pexelsclips	3.840000	1920	1014	3.125281	0/0	j
Pexels_Videos_2795737.mp4	pexelsclips	4.160000	1920	1014	8.097672	0/0	j
pexels-cottonbro-5310858.mp4	pexelsclips	4.400000	1920	1080	8.730802	50/1	j
production_ID_4325585.mp4	pexelsclips	5.020000	1920	1080	6.628039	0/0	j
production_ID_4325591.mp4	pexelsclips	5.720000	1920	1080	11.151344	0/0	j
pexels-koolshooters-7689098.mp4	pexelsclips	4.920000	1920	1080	8.683062	25/1	j
pexels-tima-miroshnichenko-5717005.mp4	pexelsclips	3.840000	1920	1080	7.358856	25/1	j
pexels-cottonbro-10639398.mp4	pexelsclips	3.960000	1920	1014	3.651785	25/1	j
production_ID_4499960.mp4	pexelsclips	3.566667	1920	1080	3.333239	30/1	j
pexels-kelly-lacy-6756531.mp4	pexelsclips	4.754750	1920	1080	12.466986	0/0	j
pexels-c-technical-5771610.mp4	pexelsclips	4.640000	1920	1014	9.305189	25/1	j
pexels-mart-production-7698911_1.mp4	pexelsclips	3.440000	1920	1014	6.467358	25/1	j
pexels-kampus-production-5991896.mp4	pexelsclips	4.640000	1920	1014	7.371328	0/0	j
production_ID_5020960.mp4	pexelsclips	3.920000	1920	1014	8.094705	25/1	j
pexels-anthony-shkraba-7569650.mp4	pexelsclips	3.040000	1920	1014	2.135952	0/0	j
