video_name	category_name	duration	width	height	size	frame_rate
AWfiZJsMWQg_99.mp4	smiling	3.037000	1280	720	1.315765	30000/1001
ddXFaMgWqAg_196.mp4	smiling	2.736067	1280	720	4.267861	0/0
wc-TAGpcap1KdAS_212.mp4	smiling	3.037000	1280	720	1.618597	30000/1001
yt-mL7eEdD-PNY_33.mp4	smiling	3.024000	1270	720	1.369878	5921/200
yt-Kabm8kuBnFo_27.mp4	hammering	3.024000	1280	720	2.813676	30/1
yt-WpLgDX6Yw_s_20.mp4	hammering	3.037000	960	720	1.447823	30000/1001
yt-giRwl4yChlw_9.mp4	hammering	3.024000	1280	720	1.528431	30000/1001
yt-yk3vAySVlDw_30.mp4	hammering	2.035367	1280	720	3.604297	0/0
yt-4wjGeLyvfjY_223.mp4	hammering	3.024000	1280	720	1.545603	30/1
yt-6vkiJedss6g_5.mp4	hammering	3.024000	1280	720	1.460151	30/1
yt-7e6Z9QQieAk_183.mp4	hammering	3.024000	1280	720	1.587387	30000/1001
yt-xgqx7tH92-c_6.mp4	hammering	3.024000	1280	720	1.315912	25/1
yt-HRuCkU_kBoE_239.mp4	working	3.024000	1280	720	1.639078	30000/1001
wc-7ugQ0V4lxYkJ_131.mp4	working	3.037000	1280	720	1.676914	30000/1001
gHYomsO1dSU_5.mp4	working	3.051000	1280	720	1.916273	179/6
wc-jujp1kJRHrkJ_54.mp4	working	3.037000	1280	720	1.777591	30000/1001
yt-i1h9ZiYZ86U_28.mp4	human	3.024000	1280	720	3.232498	30/1
yt-cgwHIb9LAFc_336.mp4	human	3.024000	1280	720	0.512874	30000/1001
yt-H5LQq4MPIao_660.mp4	human	3.024000	1280	720	1.896071	24/1
_6qAy77ODUI_175.mp4	human	3.024000	1280	720	1.095505	30000/1001
IrGYVLkWeQs_9.mp4	human	3.005000	1280	720	1.188233	30000/1001
_9v_wUywaAA_35.mp4	human	3.024000	960	720	1.106394	30000/1001
yt-ORE2V_VvOpg_67.mp4	swinging	3.024000	1280	720	2.461565	30/1
yt-hZxbKZ1WCVg_24.mp4	swinging	3.034000	1280	720	2.424295	30/1
yt-_Hnr82bYGEQ_103.mp4	swinging	3.024000	1280	720	1.791442	30/1
yt-Uih643A1YtA_110.mp4	swinging	3.024000	1280	720	1.985405	30/1
yt-JxqSboqaUPY_5.mp4	swinging	3.024000	1280	720	2.847563	30/1
yt-CXn1PGH67_s_20.mp4	swinging	3.024000	1280	720	2.752585	25/1
yt-stHEfjnm6Rw_6.mp4	swinging	3.024000	1280	720	2.058932	30/1
yt-5Mnpi51EFok_77.mp4	overflowing	3.024000	1280	720	1.844125	30/1
yt-MNo__ov96eI_22.mp4	overflowing	3.024000	1280	720	2.696435	30/1
yt-D6fhzH21T_E_26.mp4	overflowing	3.024000	1280	720	2.078252	30/1
yt-t9sowxGR_s4_1.mp4	overflowing	3.024000	1280	720	1.495864	30/1
yt-SGIqAi-zDpM_19.mp4	cutting	3.037000	1280	720	2.630082	2997/100
yt-CRw9-cCQqbg_332.mp4	cutting	3.024000	1280	720	1.339879	30/1
